id,session_id,case_id,trial_type,condition,category,initial_findings,initial_confidence,revised_findings,revised_confidence,ai_helpful,xai_helpful,xai_faithful,xai_view_selected,changed_mind,response_time_pre_ms,response_time_post_ms,bias_banner_dismissed,time_on_banner_ms,created_at,xai_overlay_finding,ground_truth,ai_preds
c9a3cd20-91aa-44af-9099-cb3d71a6fdde,268d4f1b-c349-48e9-a561-7245ba9612e9,bonus-04,bonus,D,ai_wrong,[],62,"[""pleural_effusion""]",61,60,neutral,yes,original,true,35041,81269,false,,2026-04-22 15:19:38.858945+00,,[],"{""edema"":0.05,""atelectasis"":0.1,""cardiomegaly"":0.04,""pneumothorax"":0.11,""consolidation"":0.09,""pleural_effusion"":0.88}"
c9b36ae5-03f7-4e14-8684-f858b4e95b3f,268d4f1b-c349-48e9-a561-7245ba9612e9,bonus-05,bonus,E,incidental,"[""edema"",""pleural_effusion"",""pneumothorax"",""consolidation"",""atelectasis"",""cardiomegaly""]",65,"[""edema"",""pleural_effusion"",""pneumothorax"",""consolidation"",""atelectasis"",""cardiomegaly""]",61,67,neutral,partially,original,false,82372,64533,,,2026-04-22 15:14:05.156748+00,,"[""edema"",""consolidation"",""atelectasis"",""pleural_effusion"",""pneumothorax""]","{""edema"":0.54,""atelectasis"":0.71,""cardiomegaly"":0.02,""pneumothorax"":0.69,""consolidation"":0.57,""pleural_effusion"":0.55}"
c9d5d8c2-4a6d-48ac-a766-4769413169d9,27931682-1071-4a19-a46c-50b4a188d17f,bonus-01,bonus,A,easy,"[""cardiomegaly""]",56,,,,,,,,24899,,,,2026-04-24 10:37:44.27663+00,,"[""cardiomegaly""]","{""edema"":0.49,""atelectasis"":0.25,""cardiomegaly"":0.87,""pneumothorax"":0.17,""consolidation"":0.1,""pleural_effusion"":0.05}"
cd6f5ba3-9a4f-4e8c-9248-82c74c88de93,27931682-1071-4a19-a46c-50b4a188d17f,fx-04,main,E,hard,"[""cardiomegaly"",""edema"",""pleural_effusion""]",57,"[""cardiomegaly"",""edema"",""pleural_effusion""]",54,54,misleading,no,original,false,28398,17035,,,2026-04-24 10:28:17.053453+00,,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion""]","{""edema"":0.89,""atelectasis"":0.62,""cardiomegaly"":0.95,""pneumothorax"":0.04,""consolidation"":0.53,""pleural_effusion"":0.82}"
ce937a89-99b9-4291-a2f7-589cb5a41694,27931682-1071-4a19-a46c-50b4a188d17f,bonus-04,bonus,D,ai_wrong,"[""pleural_effusion""]",53,"[""pleural_effusion""]",59,57,neutral,yes,gradcam,false,25790,12083,false,,2026-04-24 10:35:15.993315+00,pleural_effusion,[],"{""edema"":0.05,""atelectasis"":0.1,""cardiomegaly"":0.04,""pneumothorax"":0.11,""consolidation"":0.09,""pleural_effusion"":0.88}"
d2a03cab-60a0-42fc-82fe-c1dee47635ab,27931682-1071-4a19-a46c-50b4a188d17f,fx-05,main,A,incidental,"[""consolidation""]",62,,,,,,,,34834,,,,2026-04-24 10:29:47.004912+00,,"[""cardiomegaly"",""edema"",""consolidation"",""atelectasis"",""pleural_effusion"",""pneumothorax""]","{""edema"":0.3,""atelectasis"":0.45,""cardiomegaly"":0.24,""pneumothorax"":0.99,""consolidation"":0.62,""pleural_effusion"":0.65}"
d4cd3860-39d4-445a-85b7-cae41f1ea40e,268d4f1b-c349-48e9-a561-7245ba9612e9,baseline-04,baseline,A,baseline,[],51,,,,,,,,44645,,,,2026-04-22 14:19:52.560075+00,,[],{}
db23fe28-c755-42d8-8da3-8573c3a0455a,268d4f1b-c349-48e9-a561-7245ba9612e9,baseline-02,baseline,A,baseline,"[""consolidation"",""pneumothorax"",""atelectasis""]",46,,,,,,,,113661,,,,2026-04-22 14:17:39.473585+00,,"[""edema""]",{}
e13d73c7-3edf-419d-8e29-6f7e2cdc24e1,c441fd3a-2158-44e7-a31d-68ab29632857,fx-15,main,D,incidental,"[""pleural_effusion""]",80,"[""pleural_effusion""]",80,53,neutral,partially,gradcam,false,138046,81243,,,2026-04-23 16:25:18.082913+00,edema,"[""cardiomegaly"",""edema"",""atelectasis"",""pleural_effusion"",""pneumothorax""]","{""edema"":0.62,""atelectasis"":0.5,""cardiomegaly"":0.37,""pneumothorax"":0.66,""consolidation"":0.45,""pleural_effusion"":0.58}"
e29342f6-74f4-4482-843b-c53a7b16f46b,268d4f1b-c349-48e9-a561-7245ba9612e9,fx-10,main,D,ai_wrong,"[""pneumothorax""]",55,"[""pneumothorax""]",57,45,misleading,unsure,original,false,166055,89890,false,,2026-04-22 14:55:23.222325+00,,[],"{""edema"":0.02,""atelectasis"":0.05,""cardiomegaly"":0.04,""pneumothorax"":0.31,""consolidation"":0.14,""pleural_effusion"":0.04}"
